date,time,sport,event,gender,country_code,athlete_name,position
02/20/2026,13:28,Freestyle Skiing,Men's Freeski Halfpipe,Men,EST,SILDARU H,2
02/20/2026,13:28,Freestyle Skiing,Men's Freeski Halfpipe,Men,CAN,MACKAY B,3
02/20/2026,14:30,Short Track Speed Skating,Women's 1500 m,Women,KOR,KIM G,1
02/20/2026,14:30,Short Track Speed Skating,Women's 1500 m,Women,KOR,CHOI M,2
02/20/2026,14:30,Short Track Speed Skating,Women's 1500 m,Women,USA,STODDARD C,3
02/21/2026,04:00,Cross-Country Skiing,Men's 50 km Mass Start Classic,Men,NOR,KLAEBO Jahannes H,1
02/21/2026,04:00,Cross-Country Skiing,Men's 50 km Mass Start Classic,Men,NOR,NYENGET Martin L,2
02/21/2026,04:00,Cross-Country Skiing,Men's 50 km Mass Start Classic,Men,NOR,IVERSEN E,3
02/21/2026,06:15,Freestyle Skiing,Men's Ski Cross Big,Men,ITA,DEROMEDIS S,1
02/21/2026,06:15,Freestyle Skiing,Men's Ski Cross Big,Men,ITA,TOMASONI F,2
02/21/2026,06:15,Freestyle Skiing,Men's Ski Cross Big,Men,SUI,FIVA A,3
02/21/2026,07:15,Biathlon,Women's 12.5 km Mass Start,Women,FRA,MICHELON O,1
02/21/2026,07:15,Biathlon,Women's 12.5 km Mass Start,Women,FRA,SIMON J,2
02/21/2026,07:15,Biathlon,Women's 12.5 km Mass Start,Women,CZE,VOBORNIKOVA T,3
02/21/2026,09:40,Speed Skating,Men's Mass Start,Men,NED,BERGSMA J,1
02/21/2026,09:40,Speed Skating,Men's Mass Start,Men,DEN,THORUP Viktor H,2
02/21/2026,09:40,Speed Skating,Men's Mass Start,Men,ITA,GIOVANNNI A,3
02/21/2026,10:15,Speed Skating,Women's MAss Start,Women,NED,GROENEWOUD M,1
02/21/2026,10:15,Speed Skating,Women's MAss Start,Women,CAN,BLONDIN I,2
02/21/2026,10:15,Speed Skating,Women's MAss Start,Women,USA,MANGANELLO M,3
02/22/2026,03:00,Cross-Country Skiing,Women's 50 km Mass Start Classic,Women,SWE,ANDERSSON E,1
02/22/2026,03:00,Cross-Country Skiing,Women's 50 km Mass Start Classic,Women,NOR,WENG H,2
02/22/2026,03:00,Cross-Country Skiing,Women's 50 km Mass Start Classic,Women,SUI,KAELIN N,3
02/22/2026,03:40,Freestyle Skiing,Women's Freeski Halfpipe,Women,CHN,GU Ailing E,1
02/22/2026,03:40,Freestyle Skiing,Women's Freeski Halfpipe,Women,CHN,LI F,2
02/22/2026,03:40,Freestyle Skiing,Women's Freeski Halfpipe,Women,GBR,ATKINZ,3
