athlete_id,event_id,ranking
1397,14,NULL
1398,55,NULL
1399,82,NULL
1400,92,NULL
1401,72,NULL
1401,73,NULL
1403,83,NULL
1404,1,NULL
1404,5,NULL
1405,117,NULL
1407,54,NULL
1408,29,NULL
1409,11,3
1409,13,3
1409,15,2
1410,47,3
1410,49,NULL
1412,117,NULL
1413,117,NULL
1416,46,NULL
1416,52,NULL
1417,109,NULL
1417,104,NULL
1418,119,NULL
1419,109,NULL
1419,104,NULL
1419,113,NULL
1420,95,NULL
1422,117,NULL
1423,69,2
1424,12,NULL
1424,14,NULL
1427,63,1
1428,11,NULL
1428,13,NULL
1429,83,NULL
1431,75,NULL
1432,30,NULL
1432,26,NULL
1433,117,NULL
1434,30,NULL
1434,26,NULL
1445,98,NULL
1446,98,NULL
1449,98,NULL
1450,30,NULL
1452,29,NULL
1452,25,NULL
1452,28,NULL
1455,41,NULL
1457,98,NULL
1458,30,NULL
1458,26,NULL
1458,27,NULL
1460,118,NULL
1461,109,NULL
1461,104,NULL
1462,96,NULL
1463,92,NULL
1464,56,NULL
1465,71,NULL
1466,59,NULL
1467,117,NULL
1468,48,NULL
1468,50,NULL
1470,109,2
1470,104,1
1471,118,NULL
1472,56,NULL
1473,11,NULL
1473,13,NULL
1473,15,NULL
1475,112,NULL
1476,116,NULL
1476,4,NULL
1478,12,NULL
1478,14,NULL
1479,12,NULL
1479,14,NULL
1480,47,1
1480,49,3
1482,11,NULL
1483,71,NULL
1483,74,NULL
1484,71,NULL
1486,41,NULL
1488,59,2
1489,113,NULL
1489,102,NULL
1489,115,NULL
1490,30,NULL
1490,26,NULL
1490,27,NULL
1491,47,NULL
1491,49,NULL
1492,55,3
1493,112,NULL
1493,114,NULL
1495,54,NULL
1496,40,NULL
1498,108,NULL
1498,105,NULL
1499,118,NULL
1500,12,NULL
1501,29,NULL
1501,25,NULL
1501,28,NULL
1502,1,NULL
1502,5,NULL
1503,12,NULL
1503,14,NULL
1504,30,NULL
1504,27,NULL
1505,88,NULL
1507,108,NULL
1507,105,NULL
1509,55,NULL
1511,115,NULL
1512,79,NULL
1513,21,NULL
1515,72,NULL
1515,73,NULL
1519,83,NULL
1520,47,NULL
1520,49,NULL
1521,118,NULL
1523,30,NULL
1523,26,NULL
1523,27,NULL
1524,40,NULL
1525,41,1
1526,112,NULL
1526,103,NULL
1526,114,NULL
1527,96,NULL
1528,45,NULL
1528,51,NULL
1529,82,NULL
1530,72,NULL
1530,73,NULL
1531,6,NULL
1533,59,NULL
1535,117,NULL
1536,108,NULL
1536,105,NULL
1539,93,NULL
1540,63,NULL
1543,88,NULL
1544,96,NULL
1545,117,NULL
1546,113,NULL
1546,102,1
1546,106,1
1546,115,NULL
1547,120,NULL
1548,56,NULL
1549,69,NULL
1551,103,3
1551,107,NULL
1551,114,NULL
1552,21,NULL
1553,103,NULL
1553,107,NULL
1553,114,NULL
1554,113,NULL
1554,102,NULL
1554,106,NULL
1554,115,NULL
1555,21,NULL
1556,30,NULL
1556,26,NULL
1557,11,NULL
1557,13,NULL
1557,15,NULL
1558,30,NULL
1560,47,NULL
1560,49,NULL
1562,30,NULL
1564,57,NULL
1567,56,NULL
1569,62,NULL
1572,56,3
1573,120,NULL
1574,29,NULL
